"PB-60","PB-64","PB-65","PB-66","PB-68","PB-69","PB-70","PB-73","PB-74","PB-75"
"237","245","228",251,"466","255","233","249","468","239"
"244","250","253",253,"468","261","247","271","468","242"
"250","253","253",253,"468","277","254","276","474","244"
"250","253","262",257,"469","284","256","276","480","249"
"253","257","266",257,"473","289","263","276","480","254"
"255","263","269",260,"475","329","278","281","481","256"
"277","266","269",260,"479","353","314","283","481","282"
"346","275","270",266,"480","424","442","287","486","328"
"354","277","272",464,"481","425","473","291","488","329"
"388","281","273",464,"481","455","490","380","492","443"
"389","290","273",465,"482","476","491","383","492","451"
"407","358","276",476,"483","487","493","461","494","456"
"432","405","279",477,"483","496","493","465","500","459"
"447","465","290",478,"484","496","495","484","501","466"
"452","466","291",479,"484","506","497","493","502","466"
"462","467","307",482,"485","507","498","503","502","468"
"463","478","466",482,"485","514","501","503","503","471"
"466","488","477",483,"488","522","503","504","504","473"
"474","489","479",484,"501","525","505","509","506","473"
"484","492","488",485,"502","528","513","510","508","474"
"485","496","495",487,"502","530","523","512","512","475"
"486","496","496",490,"505","531","523","514","512","478"
"488","498","499",498,"506","542","524","515","518","478"
"492","498","500",502,"507","542","524","515","524","479"
"492","502","508",502,"508","543","527","532","526","480"
"498","503","517",502,"509","545","529","533","527","480"
"501","504","517",504,"510","548","531","535","601","482"
"507","517","522",507,"511","565","538","535","606","484"
"509","518","523",508,"512","566","540","537","610","485"
"514","519","529",508,"513","570","541","546","619","488"
"516","520","529",511,"514","571","544","547","633","492"
"527","521","530",512,"515","576","547","548","1003","492"
"557","527","533",513,"516","585","556","550","1009","492"
"564","527","533",513,"516","590","562","552","1030","495"
"566","529","535",514,"516","606","573","558","1044","495"
"573","530","536",515,"517","606","579","560","1826","496"
"574","532","538",517,"518","629","595","561","1859","498"
"577","535","542",518,"519","639","603","566","1878","499"
"591","540","544",521,"520","654","606","567","1884","499"
"592","543","550",522,"520","659","624","572","1886","499"
"601","544","551",523,"521","727","663","576","1886","500"
"601","545","552",527,"522","735","679","585","1851","500"
"624","551","556",964,"522","750","751","593","1867","501"
"655","557","558",982,"523","753","761","599","1885","503"
"655","559","562",982,"525","825","765","620","1876","503"
"681","565","580",272,"526","898","821","623","1902","506"
"718","576","588",244,"527","924","924","626","1867","509"
"723","595","621",293,"528","970","1025","629","1874","514"
"781","597","624",231,"529","992","1028","642","1888","514"
"789","597","629",373,"529","999","1032","650","1745","517"
"844","598","650",452,"602","1013","1043","683","1985","518"
"854","609","661",461,"613","1019","1066","692","1973","520"
"883","613","750",498,"618","1021","1170","751","1979","520"
"893","637","780",499,"637","1028","1187","776","1931","534"
"904","638","811",499,"1172","1047","1200","817","1764","541"
"906","647","834",407,"1182","1050","1221","853","1877","556"
"911","675","840",500,"1203","1086","1246","900","1247","561"
"922","678","873",500,"1850","1108","1543","903","986","566"
"936","681","874",500,"1853","1111","1824","907","998","573"
"938","686","906",501,"1889","1126","1677","915","1053","578"
"952","715","914",529,"1850","1215","1870","956","1068","605"
"964","772","1019",529,"1865","1287","1767","977","1175","623"
"971","778","1019",530,"1850","1854","1853","990","920","696"
"973","820","1022",531,"1887","1782","1878","1015","944","725"
"984","868","1035",532,"1819","1904","1881","1022","947","742"
"991","903","1038",542,"1891","1932","1895","1038","964","938"
"1037","940","1061",548,"1814","1988","1871","1076","637","958"
"1053","944","1095",552,"1857","1881","1949","1285","649","989"
"1105","964","1098",552,"1868","1983","1887","1716","701","1018"
"1134","971","1185",557,"1859","1986","1837","1741","529","1123"
"1142","981","1197",564,"1882","2012","1824","1790","513","1347"
"1196","999","1218",564,"1669","1994","2032","1740","535","1697"
"1254","1007","1372",551,"2000","2579","2050","1877","548","1872"
"1256","1016","1382",558,"1590","NA","1945","1936","568","1891"
"1851","1027","1877",585,"1040","NA","2001","1811","550","1944"
"1965","1078","1979",595,"1128","NA","2751","1806","543","1860"
"1753","1084","1853",609,"530","NA","2510","1848","496","1960"
"1934","1095","1861",610,"530","NA","2692","1861","464","1988"
"1883","1097","1860",623,"532","NA","2708","1861","488","1944"
"2108","1164","1799",634,"533","NA","2898","1994","497","2021"
"1914","1917","1877",650,"539","NA","NA","1876","457","1955"
"1950","1720","1876",668,"548","NA","NA","1920","462","2165"
"2163","1764","1818",676,"550","NA","NA","1945","477","2530"
"2176","1846","1974",697,"552","NA","NA","1860","236","NA"
"2229","1869","1982",698,"553","NA","NA","1847","236","NA"
"2283","1836","2045",751,"559","NA","NA","1967","244","NA"
"NA","1890","2165",754,"563","NA","NA","1939","253","NA"
"NA","1812","2444",784,"451","NA","NA","1988","259","NA"
"NA","1881","2760",844,"456","NA","NA","2100","259","NA"
"NA","1859","515",1033,"462","NA","NA","2499","263","NA"
"NA","1903","491",1039,"462","NA","NA","1909","265","NA"
"NA","1989","NA",1092,"464","NA","NA","NA","271","NA"
"NA","2047","NA",1161,"466","NA","NA","NA","282","NA"
"NA","2603","NA",1245,"494","NA","NA","NA","321","NA"
"NA","2250","NA",1498,"495","NA","NA","NA","NA","NA"
"NA","2663","NA",1849,"248","NA","NA","NA","NA","NA"
"NA","NA","NA",1875,"350","NA","NA","NA","NA","NA"
"NA","NA","NA",1855,"369","NA","NA","NA","NA","NA"
"NA","NA","NA",1867,"425","NA","NA","NA","NA","NA"
"NA","NA","NA",1906,"2428","NA","NA","NA","NA","NA"
"NA","NA","NA",1851,"2588","NA","NA","NA","NA","NA"
"NA","NA","NA",1797,"2964","NA","NA","NA","NA","NA"
"NA","NA","NA",1899,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",1870,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",1986,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",1972,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",2129,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",2663,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",2685,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",2787,"NA","NA","NA","NA","NA","NA"
"NA","NA","NA",2816,"NA","NA","NA","NA","NA","NA"
